province,per capita expenditure in yuan,per capita expenditure in usd,per capita expenditure in usd adj,,
Beijing,3475.8,499.2,998.4,,
Shanghai,3221.8,462.7201105,925.440221,,
Tianjin,2825.1,405.7454169,811.4908338,,
Liaoning,2626.9,377.2796133,754.5592267,,
Jilin,2469.2,354.6304851,709.2609701,,
Heilongjiang,2466.5,354.2427067,708.4854134,,
Qinghai,2371.1,340.5412049,681.0824098,,
Zhejiang,2286.6,328.4051787,656.8103573,,
Jiangsu,2273.3,326.4950112,652.9900224,,
Xinjiang,2272.6,326.3944761,652.7889522,,
Shaanxi,2233.4,320.7645089,641.5290178,,
Gansu,2207.4,317.030347,634.0606939,,
Hubei,2162.8,310.6248231,621.2496461,,
Ningxia,2152,309.0737096,618.1474193,,
Shanxi,2138.4,307.1204557,614.2409114,,
Inner Mongolia,2105.7,302.424029,604.848058,,
Chongqing,2054.5,295.0706025,590.1412049,,
Hunan,2034.4,292.183808,584.3676161,,
Shandong,1966.3,282.4031762,564.8063525,,
Henan,1925.2,276.500328,553.000656,,
Hebei,1883.7,270.5400311,541.0800621,,
Yunnan,1875,269.290523,538.5810461,,
Sichuan,1832.2,263.143518,526.2870361,,
Guangxi,1699.3,244.0562058,488.1124115,,
Hainan,1669.8,239.8193682,479.6387364,,
Guizhou,1657.8,238.0959089,476.1918177,,
Guangdong,1591.3,228.5450716,457.0901433,,
Anhui,1419.3,203.8421543,407.6843086,,
Fujian,1374.8,197.4509926,394.9019852,,
Jiangxi,1218.9,175.0603832,350.1207664,,
Tibet,871.1,125.1087865,250.2175729,,