location,location_adj,COU,Country,MAREG,Macroregion,MIREG,Microregion,VAR,Variable,YEA,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Air_Pm2.5,Flag Codes,Flags
Mali,Mali,MLI,Mali,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,39.4566,,
Malta,Malta,MLT,Malta,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,13.81512,,
Mauritania,Mauritania,MRT,Mauritania,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,47.0745,,
Mauritius,Mauritius,MUS,Mauritius,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,14.8634,,
Micronesia,Micronesia,FSM,Micronesia,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,11.1414,,
Moldova,Moldova,MDA,Moldova,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,16.57612,,
Mongolia,Mongolia,MNG,Mongolia,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,43.17646,,
Morocco,Morocco,MAR,Morocco,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,32.68699,,
Mozambique,Mozambique,MOZ,Mozambique,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,21.30045,,
Myanmar,Myanmar,MMR,Myanmar,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,36.39681,,
Namibia,Namibia,NAM,Namibia,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,25.48976,,
Nepal,Nepal,NPL,Nepal,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,99.88675,,
Nicaragua,Nicaragua,NIC,Nicaragua,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,17.93724,,
Niger,Niger,NER,Niger,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,94.11647,,
Nigeria,Nigeria,NGA,Nigeria,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,70.1165,,
Oman,Oman,OMN,Oman,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,41.69611,,
Pakistan,Pakistan,PAK,Pakistan,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,60.31662,,
Panama,Panama,PAN,Panama,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,11.45814,,
Papua New Guinea,Papua New Guinea,PNG,Papua New Guinea,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,12.41087,,
Paraguay,Paraguay,PRY,Paraguay,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,12.04507,,
Peru,Peru,PER,Peru,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,26.03583,,
Philippines,Philippines,PHL,Philippines,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,18.17468,,
Qatar,Qatar,QAT,Qatar,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,89.72286,,
Romania,Romania,ROU,Romania,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,14.6146,,
Russia,Russia,RUS,Russia,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,16.17072,,
Rwanda,Rwanda,RWA,Rwanda,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,43.27236,,
Saint Lucia,Saint Lucia,LCA,Saint Lucia,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,22.30962,,
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,VCT,Saint Vincent and the Grenadines,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,22.75627,,
Samoa,Samoa,WSM,Samoa,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,11.7098,,
San Marino,San Marino,SMR,San Marino,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,14.3671,,
Sao Tome and Principe,Sao Tome and Principe,STP,Sao Tome and Principe,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,28.38286,,
Saudi Arabia,Saudi Arabia,SAU,Saudi Arabia,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,92.36789,,
Senegal,Senegal,SEN,Senegal,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,40.68125,,
Seychelles,Seychelles,SYC,Seychelles,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,20.41034,,
Sierra Leone,Sierra Leone,SLE,Sierra Leone,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,21.44909,,
Singapore,Singapore,SGP,Singapore,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,19.72147,,
Slovenia,Slovenia,SVN,Slovenia,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,16.25411,,
Solomon Islands,Solomon Islands,SLB,Solomon Islands,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,11.565,,
Somalia,Somalia,SOM,Somalia,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,32.31047,,
South Africa,South Africa,ZAF,South Africa,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,24.95864,,
Sri Lanka,Sri Lanka,LKA,Sri Lanka,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,11.34552,,
Sudan,Sudan,SDN,Sudan,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,56.99521,,
Suriname,Suriname,SUR,Suriname,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,25.75323,,
Eswatini,Eswatini,SWZ,Eswatini,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,17.19315,,
Syrian Arab Republic,Syrian Arab Republic,SYR,Syrian Arab Republic,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,44.24641,,
Tajikistan,Tajikistan,TJK,Tajikistan,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,46.97231,,
Tanzania,Tanzania,TZA,Tanzania,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,28.336,,
Thailand,Thailand,THA,Thailand,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,26.33683,,
Timor-Leste,Timor-Leste,TLS,Timor-Leste,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,20.32858,,
Togo,Togo,TGO,Togo,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,37.13062,,
Tonga,Tonga,TON,Tonga,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,10.5421,,
Trinidad and Tobago,Trinidad and Tobago,TTO,Trinidad and Tobago,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,24.1692,,
Tunisia,Tunisia,TUN,Tunisia,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,38.15849,,
Turkmenistan,Turkmenistan,TKM,Turkmenistan,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,22.64587,,
Uganda,Uganda,UGA,Uganda,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,50.53365,,
Ukraine,Ukraine,UKR,Ukraine,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,20.69818,,
United Arab Emirates,United Arab Emirates,ARE,United Arab Emirates,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,40.64907,,
Uruguay,Uruguay,URY,Uruguay,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,9.07625,,
Uzbekistan,Uzbekistan,UZB,Uzbekistan,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,31.45703,,
Vanuatu,Vanuatu,VUT,Vanuatu,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,11.49806,,
Venezuela,Venezuela,VEN,Venezuela,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,17.39899,,
Viet Nam,Viet Nam,VNM,Viet Nam,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,30.3312,,
Yemen,Yemen,YEM,Yemen,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,51.63549,,
Zambia,Zambia,ZMB,Zambia,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,27.74442,,
Zimbabwe,Zimbabwe,ZWE,Zimbabwe,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,21.82037,,
World,World,WLD,World,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,44.17191,,
ASEAN,ASEAN,ASEAN,ASEAN,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,22.10784,,
Serbia,Serbia,SRB,Serbia,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,25.05095,,
Montenegro,Montenegro,MNE,Montenegro,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,22.29501,,
G20,G20,G20,G20,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,45.45777,,
"BRIICS economies - Brazil, Russia, India, Indonesia, China and South Africa","BRIICS economies - Brazil, Russia, India, Indonesia, China and South Africa",BRIICS,"BRIICS economies - Brazil, Russia, India, Indonesia, China and South Africa",TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,59.33351,,
European Union (28 countries),European Union (28 countries),EU28,European Union (28 countries),TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,13.09302,,
OECD - Total,OECD - Total,OECD,OECD - Total,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,12.50047,,
Latin America and Caribbean,Latin America and Caribbean,LAC,Latin America and Caribbean,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,17.07659,,
Iran,Iran,MENA,Middle East and North Africa,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,48.95,,
South Sudan ,South Sudan ,SSD,South Sudan ,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,46.83591,,
China,China,CHN,China (People's Republic of),TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,53.45372,,
Anhui,Ch-Anhui,CHN,China (People's Republic of),898,Anhui Sheng,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,57.40666,,
Fujian,Ch-Fujian,CHN,China (People's Republic of),901,Fujian Sheng,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,28.8534,,
Gansu,Ch-Gansu,CHN,China (People's Republic of),902,Gansu Sheng,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,41.78697,,
Guangdong,Ch-Guangdong,CHN,China (People's Republic of),903,Guangdong Sheng,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,34.46589,,
Guangxi,Ch-Guangxi,CHN,China (People's Republic of),904,Guangxi Zhuangzu Zizhiqu,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,38.47877,,
Guizhou,Ch-Guizhou,CHN,China (People's Republic of),905,Guizhou Sheng,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,34.95721,,
Hainan,Ch-Hainan,CHN,China (People's Republic of),906,Hainan Sheng,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,18.75793,,
Hebei,Ch-Hebei,CHN,China (People's Republic of),907,Hebei Sheng,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,82.85877,,
Heilongjiang,Ch-Heilongjiang,CHN,China (People's Republic of),908,Heilongjiang Sheng,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,41.35113,,
Henan,Ch-Henan,CHN,China (People's Republic of),909,Henan Sheng,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,75.38951,,
Hubei,Ch-Hubei,CHN,China (People's Republic of),911,Hubei Sheng,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,59.2547,,
Hunan,Ch-Hunan,CHN,China (People's Republic of),912,Hunan Sheng,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,48.63594,,
Jiangsu,Ch-Jiangsu,CHN,China (People's Republic of),913,Jiangsu Sheng,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,60.37365,,
Jiangxi,Ch-Jiangxi,CHN,China (People's Republic of),914,Jiangxi Sheng,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,40.19678,,
Jilin,Ch-Jilin,CHN,China (People's Republic of),915,Jilin Sheng,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,48.1257,,
Liaoning,Ch-Liaoning,CHN,China (People's Republic of),916,Liaoning Sheng,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,52.71976,,
Inner Mongolia,Ch-Inner Mongolia,CHN,China (People's Republic of),917,Nei Mongol Zizhiqu,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,36.77846,,
Ningxia,Ch-Ningxia,CHN,China (People's Republic of),918,Ningxia Huizu Zizhiqu,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,47.06996,,
Qinghai,Ch-Qinghai,CHN,China (People's Republic of),919,Qinghai Sheng,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,43.70459,,
Shaanxi,Ch-Shaanxi,CHN,China (People's Republic of),920,Shaanxi Sheng,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,56.08948,,
Shandong,Ch-Shandong,CHN,China (People's Republic of),921,Shandong Sheng,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,70.39007,,
Shanghai,Ch-Shanghai,CHN,China (People's Republic of),922,Shanghai Shi,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,54.22928,,
Shanxi,Ch-Shanxi,CHN,China (People's Republic of),923,Shanxi Sheng,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,56.88711,,
Sichuan,Ch-Sichuan,CHN,China (People's Republic of),924,Sichuan Sheng,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,48.44863,,
Xinjiang,Ch-Xinjiang,CHN,China (People's Republic of),927,Xinjiang Uygur Zizhiqu,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,64.096,,
Xizang,Ch-Xizang,CHN,China (People's Republic of),928,Xizang Zizhiqu,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,22.64889,,
Yunnan,Ch-Yunnan,CHN,China (People's Republic of),929,Yunnan Sheng,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,27.66366,,
Zhejiang,Ch-Zhejiang,CHN,China (People's Republic of),930,Zhejiang Sheng,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,44.76677,,
Hong Kong,Hong Kong,CHN,China (People's Republic of),TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,53.45372,,
Beijing,Ch-Beijing,CHN,China (People's Republic of),907,Hebei Sheng,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,82.85877,,
Tianjin,Ch-Tianjin,CHN,China (People's Republic of),907,Hebei Sheng,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,82.85877,,
Chongqing,Ch-Chongqing,CHN,China (People's Republic of),907,Hebei Sheng,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,47.55351333,,
-Total-,Total,BRIICS,"BRIICS economies - Brazil, Russia, India, Indonesia, China and South Africa",TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,59.33351,,