location,L,k,a,R2,Population,km2,Air_Pm2.5,Male_population,Over_65,Foreign_turism,health_exp_usd,Day_inf_detected
Ch-Hubei,67709.53451261795,0.23494487415258836,18.688296979177508,0.9940112720539592,59020000.0,185900.0,59.2547,24973000.0,6059000.0,3070000.0,590.1412048999999,1
Italy,74036.44287357746,0.2207465916077998,56.2993343185556,0.9981998999512623,60431283.0,301338.0,16.4971,29383702.0,13749132.0,61567200.0,3427.3064659999995,10
Iran,20914.010508650594,0.236460515992387,49.94291438189744,0.9966996203428448,81800269.0,1648000.0,48.95,41358928.0,5058998.0,7295000.0,1563.7516779999999,29
Spain,19597.998453338794,0.4128369616845738,53.917985182442244,0.9966949902559818,46723749.0,505990.0,9.91419,22942930.0,9054365.0,82773000.0,3259.802775,11
France,26028.942960584154,0.2574039389646242,58.38997488260987,0.9953683261274359,66987244.0,643801.0,11.95962,32432383.0,13420643.0,89322000.0,4782.288549,3
"Korea, South",8213.511172472283,0.3353963599652134,39.68321531566129,0.9994096478751007,51635256.0,100210.0,25.13889,25860546.0,7445058.0,15347000.0,2711.738257,1
US,51636.44528192684,0.2879566545139887,61.952988123670245,0.9988045945128748,327167434.0,9834000.0,7.36365,161882398.0,51717496.0,79745920.0,9869.742381999999,1
Switzerland,4636.363119640746,0.35379273571678693,54.10192477186611,0.9919423663600562,8516543.0,41285.0,10.44407,4221895.0,1586054.0,10362000.0,7867.394504999999,35
Netherlands,5317.005839083076,0.2663148619906027,57.76799946410939,0.9977927925364354,17231017.0,41543.0,12.085999999999999,8577438.0,3307699.0,18780000.0,5251.241578,37
Austria,3766.1002365966046,0.3353714380196704,56.78430213323044,0.9987859219741709,8847037.0,83879.0,12.68774,4350139.0,1681076.0,30816000.0,5295.181772,35
Norway,1651.3260368344634,0.4503033243834065,50.48916199254415,0.9977895913240306,5314336.0,385203.0,7.0458,2682431.0,906053.0,5688000.0,6203.454703,36
Belgium,3369.377167752864,0.28258837321725705,56.83209960875414,0.9956233543864195,11422068.0,30689.0,13.09935,5643265.0,2146063.0,9119000.0,4667.882286999999,14
Ch-Guangdong,1347.143750323905,0.2791956342885457,11.731430654333094,0.9985476266361403,113460000.0,177900.0,34.46589,50209000.0,7687000.0,8620000.0,564.8063525,1
Sweden,1383.6802880202233,0.4139955125871195,50.38426084745194,0.9985475002418006,10183175.0,450295.0,6.13443,5097109.0,2046362.0,7440000.0,5386.734023,10
Ch-Henan,1271.1066393643114,0.28274890015666154,12.688220962282553,0.9989728486996385,94000000.0,167000.0,75.38951,39815000.0,8698000.0,1050000.0,604.848058,1
Ch-Zhejiang,1203.1194819788327,0.3130588023449064,10.526210182292372,0.9957087289545332,57370000.0,101800.0,44.76677,24418000.0,6108000.0,3230000.0,641.5290177999999,1
Denmark,1025.3391162359458,0.7248338382602958,49.52279307164839,0.9945698067302607,5797446.0,42933.0,10.35431,2882826.0,1148645.0,12749000.0,5092.9803090000005,37
Ch-Hunan,1017.6806304951172,0.28558070637897526,11.904742400896776,0.9984658552032764,67370000.0,210000.0,48.635940000000005,28469000.0,7057000.0,1790000.0,584.3676161000001,1
Ch-Anhui,992.2394064519276,0.2821525748945728,13.337192764512302,0.9994140464399711,62000000.0,140200.0,57.406659999999995,26667000.0,6840000.0,2190000.0,634.0606938999999,1
Ch-Jiangxi,936.4861834259939,0.2951936297773493,13.094548755316508,0.9988341894410949,45200000.0,166900.0,40.19678,19579000.0,3707000.0,570000.0,618.1474193,1
Japan,1495.3628293104955,0.11811873831002889,52.00777825168812,0.9973550400922234,126529100.0,377915.0,11.86181,61797750.0,34892133.0,31192000.0,4592.428208,1
Ch-Shandong,771.2705599270258,0.15352957502532236,17.293107040353803,0.9793365698669086,100470000.0,157100.0,70.39007,41363000.0,12495000.0,3060000.0,614.2409114,1
Ch-Jiangsu,633.6816339084842,0.25808187101358687,13.491135230836566,0.9978074604543011,80400000.0,102600.0,60.37365,33555000.0,9435000.0,2650000.0,652.7889522,1
Ch-Chongqing,574.1830355712368,0.24326248955388668,11.255286732053083,0.9965163779196485,30480000.0,82300.0,47.55351333,12730000.0,3678000.0,1590000.0,538.5810461,1
Ch-Sichuan,536.9731531308495,0.2087192365108726,13.207132746810654,0.9953634201574729,81100000.0,485000.0,48.44863,33944000.0,10244000.0,2760000.0,526.2870361,1
Ch-Heilongjiang,481.7557287715565,0.2736162341882863,15.746947408028419,0.9987722152759458,38310000.0,454800.0,41.35113,15697000.0,3780000.0,1040000.0,656.8103573,2
Ch-Beijing,422.9422801700556,0.19807391465170623,12.371807331203126,0.9899681646121241,21540000.0,16808.0,82.85876999999999,8781000.0,1989000.0,3400000.0,998.4,1
Czechia,876.6745985683998,0.3574095544201787,55.65065782620231,0.9981638144945582,10625695.0,78865.0,16.21481,5226929.0,2063603.0,10611000.0,2484.6335289999997,40
Qatar,433.36728556906456,0.8373960543346951,49.52291951181272,0.981051904912262,2781677.0,11571.0,89.72286,2100297.0,38111.0,1819300.0,3926.121037,39
Portugal,599.6314643731747,0.5432710728996698,53.58989438670115,0.9930785971945457,10281762.0,92212.0,8.12088,4862044.0,2257243.0,16186000.0,2778.415587,41
Israel,3427.5722695035456,0.21729950644536986,65.05138500694247,0.995702745973507,8883800.0,22145.0,20.8113,4415415.0,1064011.0,4121000.0,2843.044007,31
Greece,619.0852869802271,0.32843208747923963,53.499788775408824,0.988626238484528,10727668.0,131957.0,16.47663,5265547.0,2323106.0,30123000.0,2261.15653,36
Brazil,1054.6634080418662,0.33400571057635414,57.78190584547546,0.9824131053293926,209469333.0,8511000.0,12.82884,102996245.0,18690609.0,6621000.0,1777.4704769999998,36
Ch-Shanghai,340.38421119905854,0.26701756798319426,10.74674597540096,0.995660308241848,24240000.0,6340.0,54.22928,10256000.0,2972000.0,6020000.0,652.9900223999999,1
Finland,356.9877797885322,0.613080187034443,51.61474581482925,0.9916346441752233,5518050.0,338440.0,5.90603,2719253.0,1198564.0,3224000.0,4112.054234,8
Ch-Hebei,318.76044986731375,0.22796175305005942,14.913295621707544,0.9967585122847739,74700000.0,187700.0,82.85876999999999,31210000.0,7854000.0,750000.0,811.4908337999999,1
Singapore,3239.4040808979903,0.05485506566388669,99.99999999999999,0.9632388043325053,5638676.0,721.5,19.72147,2951389.0,646383.0,14673000.0,4083.751681,2
Pakistan,386.75832960414994,0.9448592768438151,54.63370954013897,0.9895536684759467,212215030.0,881913.0,60.31661999999999,109209940.0,9152355.0,,144.12382409999998,36
Ch-Fujian,294.91244627253735,0.2598667979608201,10.726099749286641,0.9959264399039037,38560000.0,121400.0,28.8534,16806000.0,3065000.0,2180000.0,621.2496461000001,1
Ireland,1530.7718589314468,0.28848451439850814,61.06299742228242,0.9930858503500373,4853506.0,84421.0,8.27177,2406101.0,672978.0,10926000.0,5299.653967,39
Slovenia,292.821222340829,0.6433495440562981,51.214852367685026,0.9993915953716497,2067372.0,20273.0,16.25411,1028617.0,405347.0,4425000.0,2772.229776,44
Romania,542.4225341381399,0.3230636555339861,56.5551915016864,0.9900072703932128,19473936.0,238397.0,14.6146,9475288.0,3571267.0,11720000.0,1152.175449,36
Estonia,262.05717385539583,0.8019377369230601,52.30698813413366,0.9944011418350136,1320884.0,45336.0,6.841989999999999,622685.0,259241.0,3234000.0,1987.718156,37
Bahrain,316.4793904768184,0.20732481244989182,49.430952123697175,0.97775028191165,1569439.0,765.3,69.88265,998975.0,38080.0,12045000.0,1866.29732,34
Mexico,208.0056322107529,0.43246139683677165,56.33903797938539,0.9823519357525616,126190788.0,1973000.0,21.23615,61720822.0,9115625.0,41313000.0,971.8231599,38
